PRIM_STATE,AREA,AREA_NAME,OCC_CODE,OCC_TITLE,GROUP,TOT_EMP,EMP_PRSE,JOBS_1000,LOC QUOTIENT,H_MEAN,A_MEAN,MEAN_PRSE,H_PCT10,H_PCT25,H_MEDIAN,H_PCT75,H_PCT90,A_PCT10,A_PCT25,A_MEDIAN,A_PCT75,A_PCT90,ANNUAL,HOURLY
TX,12420,"Austin-Round Rock, TX",13-1199,"Business Operations Specialists, All Other*",,5680,4.2,7.477,0.956,34.49,71740,4.9,15.19,21.59,30.37,42.45,58.57,31600,44900,63170,88290,121830,,
TX,12420,"Austin-Round Rock, TX",13-2011,Accountants and Auditors,,8730,4,11.488,1.361,33.15,68950,2.8,18.25,22.28,28.64,38.67,52.03,37960,46350,59570,80430,108230,,
TX,12420,"Austin-Round Rock, TX",13-2021,Appraisers and Assessors of Real Estate,,500,37.1,0.658,1.337,24.65,51280,10.2,13.32,16.08,20.11,31.11,42.89,27710,33440,41830,64710,89210,,
TX,12420,"Austin-Round Rock, TX",13-2031,Budget Analysts,,550,5.3,0.728,1.587,28.58,59440,2.3,19.96,23.04,27.25,32.71,41.01,41510,47930,56680,68040,85290,,
TX,12420,"Austin-Round Rock, TX",13-2041,Credit Analysts,,**,**,**,**,49.52,103010,13.3,16.73,20.22,32.16,77.12,#,34790,42060,66880,160410,#,,
TX,12420,"Austin-Round Rock, TX",13-2051,Financial Analysts,,1730,9.8,2.281,1.313,41.42,86160,5.2,20.6,25.89,34.86,47.8,69.8,42860,53850,72510,99430,145180,,
TX,12420,"Austin-Round Rock, TX",13-2052,Personal Financial Advisors,,890,15.8,1.176,0.962,39.78,82750,14.9,11.82,16.18,23.3,47.21,#,24580,33660,48450,98200,#,,
TX,12420,"Austin-Round Rock, TX",13-2053,Insurance Underwriters,,320,29.6,0.419,0.559,32.77,68160,2.9,16.56,21.58,33.66,42.72,50.16,34450,44880,70020,88850,104330,,
TX,12420,"Austin-Round Rock, TX",13-2061,Financial Examiners,,250,6.7,0.323,1.474,34.84,72470,1.8,21.68,26.17,33.3,42.02,51.42,45090,54440,69270,87390,106940,,
TX,12420,"Austin-Round Rock, TX",13-2071,Credit Counselors,,**,**,**,**,20.1,41810,4.7,12.91,14.64,18.29,24.43,30.76,26850,30440,38030,50820,63980,,
TX,12420,"Austin-Round Rock, TX",13-2072,Loan Officers,,1170,20.2,1.539,0.69,33.04,68720,8.9,14.92,19.17,29.02,41.96,60.06,31040,39880,60350,87280,124920,,
TX,12420,"Austin-Round Rock, TX",13-2081,"Tax Examiners and Collectors, and Revenue Agents",,**,**,**,**,20.72,43100,2.3,15.06,16.79,19.28,23.01,26.84,31320,34910,40100,47850,55840,,
TX,12420,"Austin-Round Rock, TX",13-2082,Tax Preparers,,220,40.9,0.285,0.636,20.8,43260,14.6,9.63,14.96,17.33,28.56,38.3,20030,31120,36040,59410,79670,,
TX,12420,"Austin-Round Rock, TX",13-2099,"Financial Specialists, All Other",,980,11.3,1.283,1.054,30.28,62980,9.5,17.87,20.79,25.25,31.28,40.64,37170,43250,52530,65060,84530,,
TX,12420,"Austin-Round Rock, TX",15-0000,Computer and Mathematical Occupations,major,43210,5.7,56.855,2.2,39.88,82960,2.5,21,27.71,37.21,49.76,63.35,43680,57640,77390,103510,131770,,
TX,12420,"Austin-Round Rock, TX",15-1111,Computer and Information Research Scientists,,550,38.1,0.729,3.721,51.27,106630,7.3,31.67,39.06,48.48,58.26,71.08,65860,81240,100840,121170,147850,,
TX,12420,"Austin-Round Rock, TX",15-1121,Computer Systems Analysts,,8430,10.2,11.099,2.845,38.8,80700,5.1,23.59,28.35,35.25,45.92,60.66,49060,58980,73320,95520,126180,,
